"time_window","accept_rate","request","long_waiting","longwait_percent1","longwait_percent4","longwait_percent2","longwait_percent3","Weather Weight_Longwait_percent4","Weather Weight_Longwait_percent2"
"04 16:40:00","0.94444444444444","54","0","","","","","",""
"04 17:00:00","1","59","0","","","","","",""
"04 17:20:00","0.92307692307692","65","3","0.061538461538462","0.050769230769231","0.049230769230769","0.046153846153846","0.066","0.064"
"04 17:40:00","0.88888888888889","45","1","0.022222222222222","0.022222222222222","0.022222222222222","0.022222222222222","0.028888888888889","0.028888888888889"
"04 18:00:00","0.68452380952381","168","54","0.46428571428571","0.36428571428571","0.35","0.32142857142857","0.47357142857143","0.455"
"04 18:20:00","0.6046511627907","129","57","0.62790697674419","0.49767441860465","0.47906976744186","0.44186046511628","0.49767441860465","0.47906976744186"
"04 18:40:00","0.70707070707071","99","27","0.39393939393939","0.30909090909091","0.2969696969697","0.27272727272727","0.30909090909091","0.2969696969697"
"04 19:00:00","0.65765765765766","111","36","0.45045045045045","0.36216216216216","0.34954954954955","0.32432432432432","0.36216216216216","0.34954954954955"
"04 19:20:00","0.68421052631579","95","26","0.44210526315789","0.32421052631579","0.30736842105263","0.27368421052631","0.32421052631579","0.30736842105263"
"04 19:40:00","0.62650602409639","83","26","0.46987951807229","0.36024096385542","0.34457831325301","0.31325301204819","0.36024096385542","0.34457831325301"
"04 20:00:00","0.65853658536585","82","10","0.17073170731707","0.13658536585366","0.13170731707317","0.12195121951219","0.13658536585366","0.13170731707317"
"04 20:20:00","0.74","50","9","0.32","0.222","0.208","0.18","0.222","0.208"
"04 20:40:00","0.69387755102041","49","13","0.40816326530612","0.30816326530612","0.29387755102041","0.26530612244898","0.30816326530612","0.29387755102041"
"05 08:00:00","0.79411764705882","34","9","0.38235294117647","0.3","0.28823529411765","0.26470588235294","0.3","0.28823529411765"
"05 08:20:00","0.7906976744186","43","17","0.48837209302326","0.42325581395349","0.41395348837209","0.3953488372093","0.42325581395349","0.41395348837209"
"05 08:40:00","0.83333333333333","60","14","0.31666666666667","0.25833333333333","0.25","0.23333333333333","0.25833333333333","0.25"
"05 09:00:00","0.81111111111111","90","15","0.27777777777778","0.2","0.18888888888889","0.16666666666667","0.2","0.18888888888889"
