time_window,accept_rate,request,long_waiting,longwait_percent,medium_waiting_time
05 11:20:00,0.5581395348837209,172,88,0.5116279069767442,9.814809482287817
05 11:40:00,0.7,130,52,0.4,8.313945133250858
05 12:00:00,0.72,100,28,0.28,8.52572444068061
05 12:20:00,0.85,60,9,0.15,7.512159612095147
05 12:40:00,0.8805970149253731,67,12,0.1791044776119403,6.411747659517057
05 13:00:00,0.9117647058823529,68,7,0.10294117647058823,5.958166995048523
05 13:20:00,0.8524590163934426,61,6,0.09836065573770492,5.8137134651343025
05 13:40:00,0.7888888888888889,90,19,0.2111111111111111,7.240861572159661
05 14:00:00,0.8020833333333334,96,17,0.17708333333333334,7.515082974320366
05 14:20:00,0.7615384615384615,130,40,0.3076923076923077,8.065127704571456
05 14:40:00,0.7212121212121212,165,54,0.32727272727272727,8.803448716281116
05 15:00:00,0.6564102564102564,195,85,0.4358974358974359,8.806476631829904
05 15:20:00,0.7006369426751592,157,61,0.3885350318471338,8.468557114863314
05 15:40:00,0.6363636363636364,198,61,0.30808080808080807,8.86998178670609
05 16:00:00,0.821656050955414,157,53,0.3375796178343949,8.587394938315732
05 16:20:00,0.8559322033898306,118,19,0.16101694915254236,5.269658185742426
05 16:40:00,0.9263157894736842,95,8,0.08421052631578947,5.695624040929895
05 17:00:00,0.9620253164556962,79,2,0.02531645569620253,4.387253714799881
05 17:20:00,0.8840579710144928,138,15,0.10869565217391304,6.8701868831543695
05 17:40:00,0.7428571428571429,140,38,0.2714285714285714,9.083882737678032
05 18:00:00,0.6853146853146853,143,47,0.32867132867132864,9.028738484905743
05 18:20:00,0.6544117647058824,136,52,0.38235294117647056,9.341301101896498
05 18:40:00,0.6111111111111112,126,57,0.4523809523809524,8.95261764236525
05 19:00:00,0.7272727272727273,132,43,0.32575757575757575,7.051302305102851
05 19:20:00,0.7254901960784313,102,27,0.2647058823529412,9.720990526121716
05 19:40:00,0.8352941176470589,85,19,0.2235294117647059,6.573034434168188
05 20:00:00,0.8,65,13,0.2,9.346826627940844
05 20:20:00,0.7647058823529411,51,5,0.09803921568627451,8.71341821461013
05 20:40:00,0.825,40,6,0.15,9.629363686950118
06 08:00:00,0.8421052631578947,19,6,0.3157894736842105,9.424920583654334
06 08:20:00,0.8648648648648649,37,7,0.1891891891891892,7.118539770138569
06 08:40:00,0.8571428571428571,56,9,0.16071428571428573,7.315040819155865
06 09:00:00,0.8765432098765432,81,15,0.18518518518518517,6.953934885543069
06 09:20:00,0.8773584905660378,106,23,0.2169811320754717,6.501712003244576
06 09:40:00,0.8727272727272727,110,22,0.2,6.624247711478618
06 10:00:00,0.8394160583941606,137,27,0.19708029197080293,7.172100816002
06 10:20:00,0.7814569536423841,151,36,0.23841059602649006,6.7788069777466635
06 10:40:00,0.7976878612716763,173,43,0.24855491329479767,7.878725074031801
06 11:00:00,0.7621951219512195,164,52,0.3170731707317073,7.172670104149459
06 11:20:00,0.7581699346405228,153,48,0.3137254901960784,8.169364132369616
06 11:40:00,0.7807017543859649,114,23,0.20175438596491227,6.0245152164073215
06 12:00:00,0.8604651162790697,86,13,0.1511627906976744,5.635935565456748
06 12:20:00,0.8873239436619719,71,7,0.09859154929577464,8.663884378804102
06 12:40:00,0.8970588235294118,68,5,0.07352941176470588,6.564996549105033
06 13:00:00,0.9298245614035088,57,6,0.10526315789473684,6.708642070492108
06 13:20:00,0.8842105263157894,95,17,0.17894736842105263,9.477186151203655
06 13:40:00,0.8214285714285714,84,17,0.20238095238095238,8.977759900547209
06 14:00:00,0.907563025210084,119,17,0.14285714285714285,7.774306406256973
06 14:20:00,0.9043478260869565,115,16,0.1391304347826087,6.178937955906517
06 14:40:00,0.9057971014492754,138,17,0.12318840579710146,5.6009128906705365
06 15:00:00,0.8289473684210527,152,22,0.14473684210526316,6.239950249210382
06 15:20:00,0.7383720930232558,172,57,0.3313953488372093,10.817906234177148
06 15:40:00,0.5087719298245614,114,54,0.47368421052631576,10.58558294467437
06 16:00:00,0.5333333333333333,90,53,0.5888888888888889,11.074777832837173
06 16:20:00,0.8125,48,24,0.5,10.011685908114773
06 16:40:00,0.8571428571428571,49,11,0.22448979591836735,9.763832295735677
06 17:00:00,0.693069306930693,101,36,0.3564356435643564,10.072393598318099
06 17:20:00,0.3793103448275862,145,70,0.4827586206896552,11.133601484298707
06 17:40:00,0.34782608695652173,138,91,0.6594202898550725,11.984928101210054
06 18:00:00,0.36075949367088606,158,105,0.6645569620253164,12.403530501580054
06 18:20:00,0.3067484662576687,163,95,0.5828220858895705,11.681073648841293
06 18:40:00,0.5294117647058824,153,80,0.5228758169934641,10.713372525331135
06 19:00:00,0.35555555555555557,135,71,0.5259259259259259,11.707833053151766
06 19:20:00,0.37623762376237624,101,56,0.5544554455445545,12.647107181038175
06 19:40:00,0.5,98,46,0.46938775510204084,11.400201175137171
06 20:00:00,0.47058823529411764,68,29,0.4264705882352941,12.425127482937093
06 20:20:00,0.5671641791044776,67,27,0.40298507462686567,9.509270335869356
06 20:40:00,0.6521739130434783,46,15,0.32608695652173914,9.14303392012914
07 08:00:00,0.4838709677419355,31,14,0.45161290322580644,9.588631692438414
07 08:20:00,0.5957446808510638,47,26,0.5531914893617021,10.922292087415252
07 08:40:00,0.7368421052631579,57,22,0.38596491228070173,9.523585297728097
07 09:00:00,0.8448275862068966,58,22,0.3793103448275862,9.71825085234368
07 09:20:00,0.7448979591836735,98,29,0.29591836734693877,7.516611500431156
07 09:40:00,0.7246376811594203,138,43,0.3115942028985507,7.790965202450752
07 10:00:00,0.7967479674796748,123,36,0.2926829268292683,7.171482607592707
07 10:20:00,0.7723577235772358,123,36,0.2926829268292683,6.721836922413264
07 10:40:00,0.7573529411764706,136,47,0.34558823529411764,10.214912164448505
07 11:00:00,0.8307692307692308,130,38,0.2923076923076923,7.304435121436272
07 11:20:00,0.7323943661971831,142,54,0.38028169014084506,8.040522089465655
07 11:40:00,0.7317073170731707,123,48,0.3902439024390244,9.043635670903704
07 12:00:00,0.8115942028985508,69,15,0.21739130434782608,7.867151319980621
07 12:20:00,0.7922077922077922,77,11,0.14285714285714285,7.431022823708398
07 12:40:00,0.9036144578313253,83,7,0.08433734939759036,6.200141611466041
07 13:00:00,0.9204545454545454,88,4,0.045454545454545456,4.939586764421219
07 13:20:00,0.971830985915493,71,6,0.08450704225352113,7.358582719167074
07 13:40:00,0.9107142857142857,112,11,0.09821428571428571,7.323018177681499
07 14:00:00,0.8974358974358975,117,11,0.09401709401709402,7.359654720969822
07 14:20:00,0.903448275862069,145,16,0.1103448275862069,6.4267157515964
07 14:40:00,0.8325581395348837,215,41,0.19069767441860466,7.657245656658732
07 15:00:00,0.8704663212435233,193,36,0.18652849740932642,6.910301389610558
07 15:20:00,0.9190751445086706,173,29,0.1676300578034682,7.075181286171
07 15:40:00,0.9290322580645162,155,20,0.12903225806451613,6.5899114961877014
07 16:00:00,0.8033707865168539,178,25,0.1404494382022472,5.94813941306538
07 16:20:00,0.8571428571428571,119,17,0.14285714285714285,6.225363479001181
07 16:40:00,0.9298245614035088,114,10,0.08771929824561403,5.749249700864156
07 17:00:00,0.8392857142857143,112,13,0.11607142857142858,6.213410581055508
07 17:20:00,0.8608695652173913,115,12,0.10434782608695652,7.065288593239255
07 17:40:00,0.8514851485148515,101,25,0.24752475247524752,7.376445358630383
07 18:00:00,0.9213483146067416,89,6,0.06741573033707865,7.4081888693074385
07 18:20:00,0.9130434782608695,92,5,0.05434782608695652,5.803371560573578
07 18:40:00,0.8681318681318682,91,5,0.054945054945054944,5.603055425484976
07 19:00:00,0.9821428571428571,56,4,0.07142857142857142,6.190642385129576
07 19:20:00,0.7966101694915254,59,7,0.11864406779661017,8.542455498377482
07 19:40:00,0.8571428571428571,49,5,0.10204081632653061,5.342299428047278
07 20:00:00,0.9347826086956522,46,4,0.08695652173913043,6.45644177090038
07 20:20:00,0.825,40,7,0.175,9.566373116572697
07 20:40:00,0.6428571428571429,28,4,0.14285714285714285,6.287903602586852
08 08:00:00,0.8181818181818182,22,4,0.18181818181818182,8.137207613672528
08 08:20:00,0.9736842105263158,38,2,0.05263157894736842,4.855886146757338
08 08:40:00,0.9705882352941176,34,5,0.14705882352941177,4.926840095608323
08 09:00:00,0.8985507246376812,69,5,0.07246376811594203,8.928597372770309
08 09:20:00,0.9506172839506173,81,2,0.024691358024691357,6.074417854150137
08 09:40:00,0.8738738738738738,111,18,0.16216216216216217,6.4114789887837
08 10:00:00,0.9081632653061225,98,10,0.10204081632653061,5.575804196406102
