time_window,accept_rate,request,long_waiting,longwait_percent1,longwait_percent2,longwait_percent3,longwait_percent4
07 15:40:00,1.0,17,0,,,,
07 16:00:00,0.9583333333333334,24,0,,,,
07 16:20:00,1.0,19,0,,,,
07 16:40:00,0.9333333333333333,15,0,,,,
07 17:00:00,1.0,23,0,,,,
07 17:20:00,1.0,12,0,,,,
07 17:40:00,0.9375,16,0,,,,
07 18:00:00,1.0,19,0,,,,
07 18:20:00,1.0,14,0,,,,
07 18:40:00,1.0,11,0,,,,
07 19:00:00,1.0,12,0,,,,
07 19:20:00,1.0,8,0,,,,
07 19:40:00,1.0,2,0,,,,
07 20:00:00,1.0,7,0,,,,
07 20:20:00,1.0,3,0,,,,
07 20:40:00,1.0,2,0,,,,
08 08:00:00,1.0,4,1,0.5,0.325,0.25,0.3
08 08:20:00,1.0,9,0,,,,
08 08:40:00,1.0,8,1,0.25,0.1625,0.125,0.15
08 09:00:00,0.7619047619047619,21,1,0.09523809523809523,0.06190476190476191,0.047619047619047616,0.05714285714285714
08 09:20:00,0.7692307692307693,13,0,,,,
08 09:40:00,0.9411764705882353,17,2,0.17647058823529413,0.13529411764705881,0.11764705882352941,0.12941176470588237
08 10:00:00,0.85,20,3,0.2,0.16499999999999998,0.15,0.16
08 10:20:00,0.9565217391304348,23,2,0.13043478260869565,0.09999999999999999,0.08695652173913043,0.09565217391304348
08 10:40:00,1.0,16,0,,,,
08 11:00:00,0.9,20,0,,,,
08 11:20:00,1.0,19,0,,,,
08 11:40:00,1.0,21,0,,,,
08 12:00:00,0.9,10,1,0.2,0.13,0.1,0.12
08 12:20:00,1.0,4,0,,,,
08 12:40:00,0.8888888888888888,18,0,,,,
08 13:00:00,1.0,12,4,0.5,0.3833333333333333,0.3333333333333333,0.3666666666666667
08 13:20:00,0.9285714285714286,14,0,,,,
08 13:40:00,0.8636363636363636,22,1,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
08 14:00:00,0.8518518518518519,27,0,,,,
08 14:20:00,0.9583333333333334,24,0,,,,
08 14:40:00,0.8518518518518519,27,0,,,,
08 15:00:00,0.7647058823529411,34,1,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353
