accept_rate,request,long_waiting,longwait_percent1,longwait_percent2,longwait_percent3,longwait_percent4,online_drivers (no data on day 13 - 09:20:00),Percentchange_onlinedrivers,DriverBusyRate,Pricing,Hour,wd1,wd2,wd3,wd4,wd5,wd6,wd7,Request/Supply
0.944444444,72,5,0.097222222,0.077777778,0.069444444,0.075,634,-0.10070922,0.088414634,1,0.71875,1,0,0,0,0,0,0,0.113564669
0.920634921,63,6,0.142857143,0.10952381,0.095238095,0.104761905,671,0.058359621,0.054054054,1,0.729166667,1,0,0,0,0,0,0,0.093889717
0.923076923,65,4,0.092307692,0.070769231,0.061538462,0.067692308,597,-0.110283159,0.1015625,1,0.739583333,1,0,0,0,0,0,0,0.108877722
0.824324324,74,10,0.202702703,0.155405405,0.135135135,0.148648649,626,0.048576214,0.102409639,1,0.75,1,0,0,0,0,0,0,0.118210863
0.766666667,60,5,0.083333333,0.083333333,0.083333333,0.083333333,549,-0.123003195,0.162162162,1,0.760416667,1,0,0,0,0,0,0,0.109289617
0.849056604,53,9,0.264150943,0.198113208,0.169811321,0.188679245,585,0.06557377,0.151639344,1,0.770833333,1,0,0,0,0,0,0,0.090598291
0.815789474,38,4,0.157894737,0.121052632,0.105263158,0.115789474,501,-0.143589744,0.128971963,1,0.78125,1,0,0,0,0,0,0,0.075848303
0.902439024,41,6,0.195121951,0.16097561,0.146341463,0.156097561,517,0.031936128,0.169039146,1,0.791666667,1,0,0,0,0,0,0,0.079303675
0.8125,32,4,0.1875,0.14375,0.125,0.1375,449,-0.131528046,0.178396072,1,0.802083333,1,0,0,0,0,0,0,0.071269488
0.8,35,2,0.057142857,0.057142857,0.057142857,0.057142857,463,0.031180401,0.194928685,1,0.8125,1,0,0,0,0,0,0,0.075593952
0.864864865,37,7,0.297297297,0.221621622,0.189189189,0.210810811,404,-0.127429806,0.20722135,1,0.822916667,1,0,0,0,0,0,0,0.091584158
0.825,40,8,0.25,0.215,0.2,0.21,418,0.034653465,0.189440994,1,0.833333333,1,0,0,0,0,0,0,0.09569378
1,18,1,0.111111111,0.072222222,0.055555556,0.066666667,275,-0.342105263,0.15797546,1,0.333333333,0,1,0,0,0,0,0,0.065454545
1,8,0,,,,,267,-0.029090909,0.212933754,1,0.34375,0,1,0,0,0,0,0,0.029962547
0.944444444,18,1,0.055555556,0.055555556,0.055555556,0.055555556,376,0.4082397,0.141935484,1,0.354166667,0,1,0,0,0,0,0,0.04787234
