time_window,accept_rate,request,long_waiting,longwait_percent1,longwait_percent2,longwait_percent3,longwait_percent4
04 13:20:00,0.883495145631068,103,7,0.0970873786407767,0.0766990291262136,0.06796116504854369,0.07378640776699029
04 13:40:00,0.9290322580645162,155,22,0.2129032258064516,0.16322580645161291,0.14193548387096774,0.15612903225806452
04 14:00:00,0.8962962962962963,135,12,0.14074074074074075,0.10444444444444444,0.08888888888888889,0.09925925925925926
04 14:20:00,0.8489208633093526,139,16,0.16546762589928057,0.1302158273381295,0.11510791366906475,0.1251798561151079
04 14:40:00,0.8926174496644296,149,24,0.2550335570469799,0.18926174496644294,0.1610738255033557,0.17986577181208055
04 15:00:00,0.9438202247191011,178,28,0.2303370786516854,0.17921348314606741,0.15730337078651685,0.17191011235955056
04 15:20:00,0.9347826086956522,138,18,0.16666666666666666,0.14130434782608695,0.13043478260869565,0.13768115942028986
04 15:40:00,0.8980891719745223,157,16,0.16560509554140126,0.12101910828025478,0.10191082802547771,0.11464968152866242
04 16:00:00,0.9426229508196722,122,8,0.09836065573770492,0.07540983606557376,0.06557377049180328,0.07213114754098361
04 16:20:00,0.8898305084745762,118,19,0.2288135593220339,0.18135593220338983,0.16101694915254236,0.1745762711864407
04 16:40:00,0.9318181818181818,132,15,0.19696969696969696,0.13863636363636364,0.11363636363636363,0.1303030303030303
04 17:00:00,0.8771929824561403,114,15,0.24561403508771928,0.16578947368421051,0.13157894736842105,0.1543859649122807
04 17:20:00,0.9494949494949495,99,8,0.12121212121212122,0.09292929292929292,0.08080808080808081,0.08888888888888889
04 17:40:00,0.9357798165137615,109,11,0.1559633027522936,0.11743119266055047,0.10091743119266056,0.11192660550458715
04 18:00:00,0.956140350877193,114,20,0.21929824561403508,0.18859649122807018,0.17543859649122806,0.18421052631578946
04 18:20:00,0.8738738738738738,111,18,0.25225225225225223,0.1891891891891892,0.16216216216216217,0.18018018018018017
04 18:40:00,0.8679245283018868,106,21,0.29245283018867924,0.22641509433962265,0.19811320754716982,0.2169811320754717
04 19:00:00,0.8539325842696629,89,22,0.38202247191011235,0.2876404494382023,0.24719101123595505,0.2741573033707865
04 19:20:00,0.859375,64,10,0.25,0.184375,0.15625,0.175
04 19:40:00,0.8255813953488372,86,18,0.3372093023255814,0.24767441860465117,0.20930232558139536,0.23488372093023255
04 20:00:00,0.8125,64,12,0.28125,0.215625,0.1875,0.20625
04 20:20:00,0.8909090909090909,55,5,0.14545454545454545,0.10727272727272728,0.09090909090909091,0.10181818181818181
04 20:40:00,0.8409090909090909,44,11,0.36363636363636365,0.2840909090909091,0.25,0.2727272727272727
05 08:00:00,0.9166666666666666,12,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
05 08:20:00,0.896551724137931,29,3,0.1724137931034483,0.12413793103448276,0.10344827586206896,0.11724137931034483
05 08:40:00,0.925,40,2,0.05,0.05,0.05,0.05
05 09:00:00,0.9672131147540983,61,1,0.03278688524590164,0.021311475409836068,0.01639344262295082,0.019672131147540982
05 09:20:00,0.9516129032258065,62,3,0.08064516129032258,0.05806451612903226,0.04838709677419355,0.054838709677419356
05 09:40:00,0.972972972972973,74,0,,,,
05 10:00:00,0.9512195121951219,82,1,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513
05 10:20:00,0.9761904761904762,84,0,,,,
05 10:40:00,0.9759036144578314,83,3,0.060240963855421686,0.043373493975903614,0.03614457831325301,0.04096385542168675
05 11:00:00,0.9223300970873787,103,7,0.08737864077669903,0.07378640776699029,0.06796116504854369,0.07184466019417476
05 11:20:00,0.9473684210526315,95,1,0.021052631578947368,0.01368421052631579,0.010526315789473684,0.01263157894736842
05 11:40:00,0.9333333333333333,75,5,0.09333333333333334,0.07466666666666666,0.06666666666666667,0.07200000000000001
05 12:00:00,0.9178082191780822,73,2,0.0547945205479452,0.03561643835616438,0.0273972602739726,0.03287671232876712
05 12:20:00,1.0,45,2,0.08888888888888889,0.05777777777777778,0.044444444444444446,0.05333333333333333
05 12:40:00,0.9761904761904762,42,1,0.047619047619047616,0.030952380952380953,0.023809523809523808,0.02857142857142857
05 13:00:00,0.9259259259259259,81,2,0.037037037037037035,0.02839506172839506,0.024691358024691357,0.027160493827160497
05 13:20:00,0.9540229885057471,87,6,0.09195402298850575,0.07586206896551724,0.06896551724137931,0.0735632183908046
05 13:40:00,0.8709677419354839,93,7,0.12903225806451613,0.0913978494623656,0.07526881720430108,0.08602150537634409
05 14:00:00,0.9519230769230769,104,3,0.04807692307692308,0.03461538461538462,0.028846153846153848,0.032692307692307694
05 14:20:00,0.9454545454545454,110,6,0.07272727272727272,0.06,0.05454545454545454,0.05818181818181818
05 14:40:00,0.953125,128,5,0.0625,0.04609375,0.0390625,0.04375
05 15:00:00,0.9534883720930233,129,12,0.12403100775193798,0.10232558139534884,0.09302325581395349,0.09922480620155039
05 15:20:00,0.9354838709677419,124,7,0.07258064516129033,0.06129032258064516,0.056451612903225805,0.05967741935483871
