time_window,accept_rate,request,long_waiting,longwait_percent1,longwait_percent4,longwait_percent2,longwait_percent3
06 14:20:00,0.9043478260869565,115,16,0.22608695652173913,0.16521739130434782,0.1565217391304348,0.1391304347826087
06 14:40:00,0.9057971014492754,138,17,0.18115942028985507,0.14057971014492754,0.13478260869565217,0.12318840579710146
06 15:00:00,0.8289473684210527,152,22,0.21052631578947367,0.16447368421052633,0.15789473684210525,0.14473684210526316
06 15:20:00,0.7383720930232558,172,57,0.5290697674418605,0.39069767441860465,0.3709302325581395,0.3313953488372093
06 15:40:00,0.5087719298245614,114,54,0.6578947368421053,0.5289473684210526,0.5105263157894737,0.47368421052631576
06 16:00:00,0.5333333333333333,90,53,0.9,0.6822222222222222,0.6511111111111111,0.5888888888888889
06 16:20:00,0.8125,48,24,0.7083333333333334,0.5625,0.5416666666666666,0.5
06 16:40:00,0.8571428571428571,49,11,0.32653061224489793,0.25510204081632654,0.24489795918367346,0.22448979591836735
06 17:00:00,0.693069306930693,101,36,0.5544554455445545,0.4158415841584158,0.39603960396039606,0.3564356435643564
06 17:20:00,0.3793103448275862,145,70,0.7103448275862069,0.5510344827586208,0.5282758620689655,0.4827586206896552
06 17:40:00,0.34782608695652173,138,91,1.0072463768115942,0.763768115942029,0.7289855072463768,0.6594202898550725
06 18:00:00,0.36075949367088606,158,105,0.9683544303797469,0.7556962025316456,0.7253164556962025,0.6645569620253164
06 18:20:00,0.3067484662576687,163,95,0.803680981595092,0.649079754601227,0.6269938650306749,0.5828220858895705
06 18:40:00,0.5294117647058824,153,80,0.7712418300653595,0.5973856209150327,0.5725490196078431,0.5228758169934641
06 19:00:00,0.35555555555555557,135,71,0.7481481481481481,0.5925925925925926,0.5703703703703704,0.5259259259259259
06 19:20:00,0.37623762376237624,101,56,0.8316831683168316,0.6376237623762376,0.6099009900990099,0.5544554455445545
06 19:40:00,0.5,98,46,0.7346938775510204,0.5489795918367346,0.5224489795918368,0.46938775510204084
06 20:00:00,0.47058823529411764,68,29,0.6029411764705882,0.47941176470588237,0.4617647058823529,0.4264705882352941
06 20:20:00,0.5671641791044776,67,27,0.5522388059701493,0.44776119402985076,0.43283582089552236,0.40298507462686567
06 20:40:00,0.6521739130434783,46,15,0.5217391304347826,0.3847826086956522,0.3652173913043478,0.32608695652173914
07 08:00:00,0.4838709677419355,31,14,0.6129032258064516,0.5,0.4838709677419355,0.45161290322580644
07 08:20:00,0.5957446808510638,47,26,0.7659574468085106,0.6170212765957447,0.5957446808510638,0.5531914893617021
07 08:40:00,0.7368421052631579,57,22,0.5789473684210527,0.443859649122807,0.4245614035087719,0.38596491228070173
07 09:00:00,0.8448275862068966,58,22,0.5862068965517241,0.44137931034482764,0.42068965517241375,0.3793103448275862
07 09:20:00,0.7448979591836735,98,29,0.45918367346938777,0.34489795918367344,0.3285714285714286,0.29591836734693877
07 09:40:00,0.7246376811594203,138,43,0.463768115942029,0.35724637681159416,0.3420289855072464,0.3115942028985507
07 10:00:00,0.7967479674796748,123,36,0.3983739837398374,0.32439024390243903,0.31382113821138213,0.2926829268292683
07 10:20:00,0.7723577235772358,123,36,0.42276422764227645,0.3317073170731707,0.31869918699186994,0.2926829268292683
07 10:40:00,0.7573529411764706,136,47,0.49264705882352944,0.3897058823529412,0.375,0.34558823529411764
07 11:00:00,0.8307692307692308,130,38,0.45384615384615384,0.34076923076923077,0.32461538461538464,0.2923076923076923
07 11:20:00,0.7323943661971831,142,54,0.5563380281690141,0.43309859154929575,0.4154929577464789,0.38028169014084506
07 11:40:00,0.7317073170731707,123,48,0.6178861788617886,0.4585365853658536,0.43577235772357725,0.3902439024390244
07 12:00:00,0.8115942028985508,69,15,0.30434782608695654,0.24347826086956523,0.23478260869565215,0.21739130434782608
07 12:20:00,0.7922077922077922,77,11,0.23376623376623376,0.17012987012987013,0.16103896103896104,0.14285714285714285
07 12:40:00,0.9036144578313253,83,7,0.10843373493975904,0.09156626506024096,0.0891566265060241,0.08433734939759036
07 13:00:00,0.9204545454545454,88,4,0.09090909090909091,0.05909090909090909,0.05454545454545454,0.045454545454545456
07 13:20:00,0.971830985915493,71,6,0.1267605633802817,0.0971830985915493,0.09295774647887324,0.08450704225352113
07 13:40:00,0.9107142857142857,112,11,0.11607142857142858,0.10357142857142856,0.10178571428571428,0.09821428571428571
07 14:00:00,0.8974358974358975,117,11,0.1452991452991453,0.1094017094017094,0.10427350427350426,0.09401709401709402
07 14:20:00,0.903448275862069,145,16,0.16551724137931034,0.1268965517241379,0.1213793103448276,0.1103448275862069
07 14:40:00,0.8325581395348837,215,41,0.27906976744186046,0.21720930232558142,0.2083720930232558,0.19069767441860466
07 15:00:00,0.8704663212435233,193,36,0.3005181347150259,0.22072538860103627,0.20932642487046632,0.18652849740932642
07 15:20:00,0.9190751445086706,173,29,0.27167630057803466,0.19884393063583813,0.18843930635838152,0.1676300578034682
07 15:40:00,0.9290322580645162,155,20,0.1870967741935484,0.1464516129032258,0.1406451612903226,0.12903225806451613
07 16:00:00,0.8033707865168539,178,25,0.19101123595505617,0.1556179775280899,0.15056179775280898,0.1404494382022472
07 16:20:00,0.8571428571428571,119,17,0.21008403361344538,0.1630252100840336,0.15630252100840336,0.14285714285714285
07 16:40:00,0.9298245614035088,114,10,0.10526315789473684,0.09298245614035087,0.0912280701754386,0.08771929824561403
07 17:00:00,0.8392857142857143,112,13,0.16964285714285715,0.13214285714285715,0.12678571428571428,0.11607142857142858
07 17:20:00,0.8608695652173913,115,12,0.1391304347826087,0.11478260869565217,0.11130434782608696,0.10434782608695652
07 17:40:00,0.8514851485148515,101,25,0.3564356435643564,0.2801980198019802,0.2693069306930693,0.24752475247524752
07 18:00:00,0.9213483146067416,89,6,0.11235955056179775,0.08089887640449439,0.07640449438202247,0.06741573033707865
07 18:20:00,0.9130434782608695,92,5,0.07608695652173914,0.0608695652173913,0.058695652173913045,0.05434782608695652
07 18:40:00,0.8681318681318682,91,5,0.06593406593406594,0.05824175824175824,0.05714285714285715,0.054945054945054944
07 19:00:00,0.9821428571428571,56,4,0.10714285714285714,0.08214285714285714,0.07857142857142858,0.07142857142857142
07 19:20:00,0.7966101694915254,59,7,0.1694915254237288,0.13389830508474576,0.1288135593220339,0.11864406779661017
07 19:40:00,0.8571428571428571,49,5,0.12244897959183673,0.10816326530612244,0.10612244897959185,0.10204081632653061
07 20:00:00,0.9347826086956522,46,4,0.17391304347826086,0.11304347826086956,0.10434782608695652,0.08695652173913043
07 20:20:00,0.825,40,7,0.2,0.1825,0.18,0.175
07 20:40:00,0.6428571428571429,28,4,0.21428571428571427,0.16428571428571428,0.15714285714285717,0.14285714285714285
08 08:00:00,0.8181818181818182,22,4,0.2727272727272727,0.20909090909090908,0.2,0.18181818181818182
08 08:20:00,0.9736842105263158,38,2,0.07894736842105263,0.06052631578947368,0.05789473684210527,0.05263157894736842
08 08:40:00,0.9705882352941176,34,5,0.2647058823529412,0.1823529411764706,0.17058823529411765,0.14705882352941177
08 09:00:00,0.8985507246376812,69,5,0.14492753623188406,0.09420289855072464,0.08695652173913043,0.07246376811594203
08 09:20:00,0.9506172839506173,81,2,0.037037037037037035,0.02839506172839506,0.027160493827160497,0.024691358024691357
08 09:40:00,0.8738738738738738,111,18,0.24324324324324326,0.18648648648648647,0.1783783783783784,0.16216216216216217
08 10:00:00,0.9081632653061225,98,10,0.14285714285714285,0.11428571428571428,0.11020408163265306,0.10204081632653061
08 10:20:00,0.9473684210526315,152,7,0.05921052631578947,0.049999999999999996,0.048684210526315795,0.046052631578947366
08 10:40:00,0.8802816901408451,142,21,0.22535211267605634,0.17112676056338028,0.16338028169014085,0.14788732394366197
08 11:00:00,0.8111888111888111,143,20,0.20279720279720279,0.15874125874125875,0.15244755244755245,0.13986013986013987
08 11:20:00,0.9072847682119205,151,28,0.2913907284768212,0.2172185430463576,0.20662251655629138,0.18543046357615894
08 11:40:00,0.8529411764705882,102,17,0.2549019607843137,0.19313725490196076,0.1843137254901961,0.16666666666666666
08 12:00:00,0.875,96,13,0.17708333333333334,0.14791666666666667,0.14375000000000002,0.13541666666666666
08 12:20:00,0.9166666666666666,72,7,0.1527777777777778,0.11388888888888887,0.10833333333333334,0.09722222222222222
08 12:40:00,0.875,80,7,0.1375,0.1025,0.0975,0.0875
08 13:00:00,0.875,80,7,0.0875,0.0875,0.0875,0.0875
08 13:20:00,0.875,88,12,0.19318181818181818,0.1534090909090909,0.14772727272727273,0.13636363636363635
08 13:40:00,0.8652482269503546,141,17,0.1773049645390071,0.13758865248226948,0.1319148936170213,0.12056737588652482
08 14:00:00,0.864406779661017,177,21,0.1751412429378531,0.13559322033898305,0.12994350282485875,0.11864406779661017
08 14:20:00,0.8820224719101124,178,24,0.19662921348314608,0.15337078651685393,0.14719101123595504,0.1348314606741573
08 14:40:00,0.8769230769230769,195,31,0.22564102564102564,0.17897435897435895,0.17230769230769233,0.15897435897435896
08 15:00:00,0.8348623853211009,218,40,0.27522935779816515,0.21100917431192662,0.2018348623853211,0.1834862385321101
